n_designs,n_draws,n_seeds,nfe,n_borg_runs,search_t_eval_s,search_ranks_per_node,search_nodes,search_islands,search_workers,search_efficiency,search_hr_per_run,search_su,etest_n_theta,etest_r,etest_l_test,etest_scenarios,reeval_policies,reeval_sims,reeval_t_eval_s,reeval_ranks_per_node,reeval_cost_basis,reeval_su,total_su,frac_of_allocation
6,10,2,100000,120,173.8135,128,4,2,509,0.729,13.011749490724647,799441.8887101223,500,20,30,10000,600,300000,126.35900000000001,128,measured_full,11699.907407407407,811141.7961175297,0.8111417961175298
6,10,2,100000,120,173.8135,128,4,2,509,0.729,13.011749490724647,799441.8887101223,1000,10,10,10000,600,600000,23.445,128,measured_full,4341.666666666667,803783.555376789,0.8037835553767889
6,10,2,100000,120,173.8135,128,4,2,509,0.729,13.011749490724647,799441.8887101223,1000,10,30,10000,600,600000,68.61500000000001,128,measured_full,12706.481481481484,812148.3701916038,0.8121483701916038
6,10,2,100000,120,173.8135,128,4,2,509,0.729,13.011749490724647,799441.8887101223,1000,20,10,20000,600,600000,43.370999999999995,128,measured_full,8031.666666666665,807473.555376789,0.807473555376789
6,10,2,100000,120,173.8135,128,4,2,509,0.729,13.011749490724647,799441.8887101223,1000,20,30,20000,600,600000,126.35900000000001,128,measured_full,23399.814814814814,822841.7035249372,0.8228417035249371
6,10,3,25000,180,173.8135,128,4,2,509,0.729,3.2529373726811617,299790.70826629584,200,10,10,2000,600,120000,23.445,128,measured_full,868.3333333333334,300659.04159962916,0.30065904159962914
6,10,3,25000,180,173.8135,128,4,2,509,0.729,3.2529373726811617,299790.70826629584,200,10,30,2000,600,120000,68.61500000000001,128,measured_full,2541.2962962962965,302332.00456259213,0.3023320045625921
6,10,3,25000,180,173.8135,128,4,2,509,0.729,3.2529373726811617,299790.70826629584,200,20,10,4000,600,120000,43.370999999999995,128,measured_full,1606.333333333333,301397.04159962916,0.30139704159962916
6,10,3,25000,180,173.8135,128,4,2,509,0.729,3.2529373726811617,299790.70826629584,200,20,30,4000,600,120000,126.35900000000001,128,measured_full,4679.9629629629635,304470.6712292588,0.3044706712292588
6,10,3,25000,180,173.8135,128,4,2,509,0.729,3.2529373726811617,299790.70826629584,500,10,10,5000,600,300000,23.445,128,measured_full,2170.8333333333335,301961.54159962916,0.3019615415996292
6,10,3,25000,180,173.8135,128,4,2,509,0.729,3.2529373726811617,299790.70826629584,500,10,30,5000,600,300000,68.61500000000001,128,measured_full,6353.240740740742,306143.9490070366,0.30614394900703656
6,10,3,25000,180,173.8135,128,4,2,509,0.729,3.2529373726811617,299790.70826629584,500,20,10,10000,600,300000,43.370999999999995,128,measured_full,4015.8333333333326,303806.54159962916,0.30380654159962917
6,10,3,25000,180,173.8135,128,4,2,509,0.729,3.2529373726811617,299790.70826629584,500,20,30,10000,600,300000,126.35900000000001,128,measured_full,11699.907407407407,311490.61567370326,0.31149061567370323
6,10,3,25000,180,173.8135,128,4,2,509,0.729,3.2529373726811617,299790.70826629584,1000,10,10,10000,600,600000,23.445,128,measured_full,4341.666666666667,304132.3749329625,0.3041323749329625
6,10,3,25000,180,173.8135,128,4,2,509,0.729,3.2529373726811617,299790.70826629584,1000,10,30,10000,600,600000,68.61500000000001,128,measured_full,12706.481481481484,312497.1897477773,0.3124971897477773
6,10,3,25000,180,173.8135,128,4,2,509,0.729,3.2529373726811617,299790.70826629584,1000,20,10,20000,600,600000,43.370999999999995,128,measured_full,8031.666666666665,307822.3749329625,0.30782237493296255
6,10,3,25000,180,173.8135,128,4,2,509,0.729,3.2529373726811617,299790.70826629584,1000,20,30,20000,600,600000,126.35900000000001,128,measured_full,23399.814814814814,323190.5230811107,0.3231905230811107
6,10,3,50000,180,173.8135,128,4,2,509,0.729,6.505874745362323,599581.4165325917,200,10,10,2000,600,120000,23.445,128,measured_full,868.3333333333334,600449.749865925,0.600449749865925
6,10,3,50000,180,173.8135,128,4,2,509,0.729,6.505874745362323,599581.4165325917,200,10,30,2000,600,120000,68.61500000000001,128,measured_full,2541.2962962962965,602122.712828888,0.602122712828888
6,10,3,50000,180,173.8135,128,4,2,509,0.729,6.505874745362323,599581.4165325917,200,20,10,4000,600,120000,43.370999999999995,128,measured_full,1606.333333333333,601187.749865925,0.601187749865925
6,10,3,50000,180,173.8135,128,4,2,509,0.729,6.505874745362323,599581.4165325917,200,20,30,4000,600,120000,126.35900000000001,128,measured_full,4679.9629629629635,604261.3794955546,0.6042613794955546
6,10,3,50000,180,173.8135,128,4,2,509,0.729,6.505874745362323,599581.4165325917,500,10,10,5000,600,300000,23.445,128,measured_full,2170.8333333333335,601752.249865925,0.601752249865925
6,10,3,50000,180,173.8135,128,4,2,509,0.729,6.505874745362323,599581.4165325917,500,10,30,5000,600,300000,68.61500000000001,128,measured_full,6353.240740740742,605934.6572733325,0.6059346572733325
6,10,3,50000,180,173.8135,128,4,2,509,0.729,6.505874745362323,599581.4165325917,500,20,10,10000,600,300000,43.370999999999995,128,measured_full,4015.8333333333326,603597.249865925,0.603597249865925
6,10,3,50000,180,173.8135,128,4,2,509,0.729,6.505874745362323,599581.4165325917,500,20,30,10000,600,300000,126.35900000000001,128,measured_full,11699.907407407407,611281.3239399991,0.6112813239399991
6,10,3,50000,180,173.8135,128,4,2,509,0.729,6.505874745362323,599581.4165325917,1000,10,10,10000,600,600000,23.445,128,measured_full,4341.666666666667,603923.0831992583,0.6039230831992584
6,10,3,50000,180,173.8135,128,4,2,509,0.729,6.505874745362323,599581.4165325917,1000,10,30,10000,600,600000,68.61500000000001,128,measured_full,12706.481481481484,612287.8980140731,0.6122878980140731
